,CustomerID,prob_churn
2567,6630-UJZMY,0.8408176055088902
3732,4927-WWOOZ,0.8342924431201253
4198,5150-ITWWB,0.8339652589465776
4624,3489-HHPFY,0.8338866240065403
4927,0187-QSXOE,0.8106624565008631
4341,2545-EBUPK,0.8099600433364935
5717,7668-XCFYV,0.8060890547864747
5906,4912-PIGUY,0.8035126365896715
4779,7225-CBZPL,0.7988353106074295
3141,7398-SKNQZ,0.7978740944053174
3012,9957-YODKZ,0.796415708687666
4845,8161-QYMTT,0.795612702660832
5279,6350-XFYGW,0.7953172841232632
4909,3452-GWUIN,0.7940767425196184
3712,8622-ZLFKO,0.7934140171426538
2125,0021-IKXGC,0.7866502312293187
6167,2077-MPJQO,0.7852870857901836
5657,7577-SWIFR,0.7850976031191318
6702,6969-MVBAI,0.784071653621618
2086,4847-TAJYI,0.7836320491002441
6011,9334-GWGOW,0.783609782844217
3602,8739-XNIKG,0.7804578571957872
4453,9799-CAYJJ,0.7797392818430687
4476,2880-FPNAE,0.778418827083242
4714,0365-BZUWY,0.7751960304857048
2131,4115-NZRKS,0.7748070589677534
6029,3096-GKWEB,0.7743118173996557
5570,3320-VEOYC,0.7736921957216025
3273,3318-NMQXL,0.7733187035401689
1889,4929-XIHVW,0.771135023022752
3682,1197-BVMVG,0.7672786236161137
3142,5935-FCCNB,0.7642285455854178
4398,9919-KNPOO,0.7619275234757323
6280,3462-BJQQA,0.760191178098671
2215,1452-VOQCH,0.7595363998446235
5028,7044-YAACC,0.7594860680435733
2103,2799-ARNLO,0.7586211804523081
3046,7321-VGNKU,0.7571419184705092
5608,5995-SNNEW,0.7565442467844373
3364,8775-ERLNB,0.7552887037136408
5369,6583-KQJLK,0.7541355241282577
2676,7439-DKZTW,0.7539709718788432
4730,4090-KPJIP,0.7518551151516987
6812,1173-XZPYF,0.7502832765299127
2530,2123-AGEEN,0.7501591074540701
6949,2215-ZAFGX,0.750001044674415
2960,9290-SHCMB,0.7478717013853742
2265,4234-XTNEA,0.7477652636387503
4516,6357-JJPQT,0.7467408210720067
2684,7363-QTBIW,0.7459270792157331
5144,4749-OJKQU,0.7454585330173947
6898,6229-LSCKB,0.7433120028802908
3407,8087-LGYHQ,0.741664446745635
4551,3878-AVSOQ,0.741206055191857
6353,9605-WGJVW,0.7411642553172632
2628,8242-SOQUO,0.7390117926686872
2232,9094-AZPHK,0.7374280955188278
6030,2371-JQHZZ,0.7373544913212848
5511,4298-OYIFC,0.7368291387708094
4980,8107-KNCIM,0.7364868301028694
5394,0018-NYROU,0.7363489577631084
6496,3422-GALYP,0.7356587748385895
6260,4853-OITSN,0.7354542378373338
2267,5348-CAGXB,0.7347322187282703
3662,9603-OAIHC,0.7343440084168775
3559,4813-HQMGZ,0.734339698095935
6063,0168-XZKBB,0.7339988415266856
3691,7994-UYIVZ,0.7334657288469031
5338,5956-YHHRX,0.7329756011768231
5397,0480-BIXDE,0.7318365814343579
3605,2789-HQBOU,0.731723919120711
3333,1960-UYCNN,0.7287741841443723
4947,7858-GTZSP,0.7282610052292511
4431,9402-ORRAH,0.7282508078578152
6213,1628-BIZYP,0.7281370733683639
3634,6734-GMPVK,0.7280108070715975
4158,6860-YRJZP,0.7259490403716947
3518,1393-IMKZG,0.7255445461299038
4335,0840-DFEZH,0.7253155154130178
1969,2876-GZYZC,0.723926919694572
4971,4395-PZMSN,0.7234799592128102
5728,4060-LDNLU,0.7222833138115031
3025,3292-PBZEJ,0.7211868906619158
6327,4884-ZTHVF,0.7210123999276888
5638,8541-QVFKM,0.7175497778162795
4329,1640-PLFMP,0.7174661109152044
2788,6507-ZJSUR,0.7161543485895707
4464,3199-XGZCY,0.7152096398166816
2986,6198-RTPMF,0.712370263089059
6408,0644-OQMDK,0.7120238162312617
4870,2688-BHGOG,0.7117654501687695
5177,7465-ZZRVX,0.7102762057596171
6102,5937-EORGB,0.7102654659312632
4030,5542-TBBWB,0.7102569880220928
3412,7206-PQBBZ,0.7101827253146875
5580,5429-LWCMV,0.7100008235653115
1993,4482-EWFMI,0.7094561117106603
5653,3295-YVUSR,0.709378384094108
5031,4123-DVHPH,0.7093761795642575
6493,2985-FMWYF,0.7093272952874874
6406,3427-GGZZI,0.7091118990673577
5057,7394-LWLYN,0.7089682160325144
6380,3317-VLGQT,0.7082738472212342
3093,1219-NNDDO,0.7081020455912606
3615,4559-UWIHT,0.7078990406259932
3222,3030-YDNRM,0.7077990158423808
2582,5382-SOYZL,0.7052495116916105
4806,6986-IXNDM,0.7047563358903511
5599,7354-OIJLX,0.7034209319170472
4274,3629-ZNKXA,0.7027032609728068
4620,2897-DOVND,0.702639357831097
6109,9633-XQABV,0.7025965367904118
5301,9717-QEBGU,0.7025244419615387
5675,5928-QLDHB,0.7016949491203074
5169,2665-NPTGL,0.7016844291732647
3563,7245-NIIWQ,0.7013005214512916
2763,6077-BDPXA,0.701054847377408
2090,6851-WEFYX,0.7006358070941909
4799,1200-TUZHR,0.7003694859267295
3138,6407-UTSLV,0.698360252183189
2557,4301-VVZKA,0.6982307692487721
5483,8875-AKBYH,0.6979011145485742
4723,7392-YYPYJ,0.6977296235430711
6586,5119-NZPTV,0.6976026686746013
5295,7402-EYFXX,0.6967784261581196
4610,5288-AHOUP,0.6965560192788206
6749,3411-WLRSQ,0.696111073152508
3137,2081-VEYEH,0.6941764323593346
3738,0722-SVSFK,0.6931832989663167
5373,6116-RFVHN,0.6928245420660518
2211,8313-NDOIA,0.6927768026230013
6550,6856-RAURS,0.6907632391246341
5745,3338-CVVEH,0.6906785122723744
2112,5701-YVSVF,0.6903774203662764
5324,9360-OMDZZ,0.6900502863311511
2994,2984-AFWNC,0.6875846053849207
4287,4132-KALRO,0.6873759876697482
2802,1251-STYSZ,0.6870555134692401
2718,0411-EZJZE,0.684992237070617
3589,9121-PHQSR,0.6849437579372766
4087,4770-UEZOX,0.6837425957058921
1933,4445-ZJNMU,0.6824526027902474
2049,9903-LYSAB,0.6808650758949722
2300,6030-REHUX,0.6807536944751513
4481,2254-DLXRI,0.680496541831303
6795,4566-NECEV,0.6798346131063904
4562,1016-DJTSV,0.6797199679310425
4557,2107-FBPTK,0.6785851474522893
2253,6705-LXORM,0.6784254551934797
3794,8325-QRPZR,0.6771534128377491
5948,9279-CJEOJ,0.6770051364210609
6172,3370-HXOPH,0.6742376833427166
3071,2439-LYPMQ,0.6731560434659153
3128,6435-SRWBJ,0.6717549187015815
4729,4521-YEEHE,0.6712589848637324
4664,1508-DFXCU,0.6711010915340802
4576,4633-MKHYU,0.6710691515284697
3365,8309-IEYJD,0.670501304229493
4661,3453-RTHJQ,0.6702000596457558
6695,6215-NQCPY,0.6701501173160637
3549,2754-SDJRD,0.6680440370098326
2375,5760-IFJOZ,0.6679739489982782
6171,2905-KFQUV,0.6679439208310114
3679,1475-VWVDO,0.6678216890277343
5524,5117-IFGPS,0.6661380423548351
3069,6267-DCFFZ,0.6655007933337629
6465,7823-JSOAG,0.6645997693361417
7032,2235-DWLJU,0.6636558778721088
5406,5216-WASFJ,0.6632635142550075
2766,4291-SHSBH,0.6624760302610856
5126,0848-ZGQIJ,0.6621123567750864
3101,0793-TWELN,0.6614200897573331
5498,3420-YJLQT,0.661418300360795
7011,0928-XUTSN,0.6613448382524942
6052,5399-ZIMKF,0.6598456614627934
4166,0396-YCHWO,0.6580860462451373
6609,2809-ZMYOQ,0.6580687021594557
2829,6198-ZFIOJ,0.6574972978329319
4054,2674-MIAHT,0.6567676621269508
6674,1104-TNLZA,0.6567375700157672
6514,8873-GLDMH,0.6565794853726916
5066,9208-OLGAQ,0.6561328332364195
2093,8266-VBFQL,0.655291159456486
3510,3496-LFSZU,0.6552348174316353
6740,1226-IENZN,0.6545364979656237
3932,3904-UKFRE,0.6542536281906881
6691,6339-YPSAH,0.6541618286504345
3452,0248-IPDFW,0.6538682586667033
5938,5044-LRQAQ,0.6538647983431776
3989,7517-LDMPS,0.6535357635125842
6727,9696-RMYBA,0.6533032766421948
3226,8356-WUAOJ,0.6524967469369527
6842,1754-GKYPY,0.6523247924378878
3185,5091-HFAZW,0.6510570427290406
6106,4583-PARNH,0.6510288369845144
5963,6918-UMQCG,0.6495376663499661
3450,5628-FCGYG,0.6492612597016872
5697,1028-FFNJK,0.6491442581962736
3126,4854-CIDCF,0.6485772581521224
4760,4647-MUZON,0.6483485527513638
6766,0674-EYYZV,0.6469511784148544
4259,0928-JMXNP,0.6462350017853742
